Rio de Janeiro | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Receitas realizadas - R$ (&times;1000) [2022],Despesas empenhadas - R$ (&times;1000) [2022],PIB per capita - R$ [2021],
S&atilde;o Francisco de Itabapoana,3304755,s&atilde;o-franciscano,FRANCIMARA AZER&Ecirc;DO DA SILVA BARBOSA LEMOS,1118.037,45059,40.30,98,0.639,18.76,299114324.1,276597935.8,28060.15,
S&atilde;o Fid&eacute;lis,3304805,fidelense,AMARILDO HENRIQUE ALC&Acirc;NTARA,1034.833,38961,37.65,97.1,0.691,18.18,217898052.7,235386457.4,21811.97,
S&atilde;o Gon&ccedil;alo,3304904,gon&ccedil;alense,NELSON RUAS DOS SANTOS,248.160,896744,3613.57,96.7,0.739,12.56,2074975505,2898447674,18504.81,
S&atilde;o Jo&atilde;o da Barra,3305000,sanjoanense,CARLA MARIA MACHADO DOS SANTOS,452.396,36573,80.84,97.5,0.671,10.16,865275576.1,808722137.3,269169.78,
S&atilde;o Jo&atilde;o de Meriti,3305109,meritiense,JOAO FERREIRA NETO,35.216,440962,12521.64,96.6,0.719,17.28,365920523088,1081453935,18935.5,
S&atilde;o Jos&eacute; de Ub&aacute;,3305133,ubaense,GEAN MARCOS PEREIRA DA SILVA,249.688,7070,28.32,99.2,0.652,18.18,85796173.9,73863986.9,27190.85,
S&atilde;o Jos&eacute; do Vale do Rio Preto,3305158,rio-pretano,GILBERTO MARTINS ESTEVES,220.178,22080,100.28,98.4,0.660,13.61,119476728.9,104299168.4,33522.52,
S&atilde;o Pedro da Aldeia,3305208,aldeense,CARLOS FABIO DA SILVA,332.488,104029,312.88,97.9,0.712,10.73,492596849.9,558131182.7,25509.14,
S&atilde;o Sebasti&atilde;o do Alto,3305307,altense,ALIF RODRIGUES DA SILVA,397.214,7750,19.51,94.6,0.646,14.71,93621217.67,99885407.65,25625.42,
Sapucaia,3305406,sapucaiense,BRENO JOS&Eacute; DE SOUZA JUNQUEIRA,540.673,17729,32.79,97.3,0.675,5.99,180998065.9,185302101.9,54765.99,
Saquarema,3305505,saquaremense,MANOELA RAMOS DE SOUZA GOMES ALVES,352.130,89559,254.34,96.3,0.709,8.81,2763662267,2359928431,458767.96,
Serop&eacute;dica,3305554,seropedicense,LUCAS DUTRA DOS SANTOS,265.189,80596,303.92,97.5,0.713,24.27,452825681.1,460571440.2,56977.34,
Silva Jardim,3305604,silva-jardinense,MAIRA BRANCO MONTEIRO,937.755,21352,22.77,98.8,0.654,30.43,340554452.9,307795254.7,27675.96,
Sumidouro,3305703,sumidourense,ELIESIO PERES DA SILVA,413.407,15206,36.78,93.5,0.611,24.04,84651509.82,73856701.59,38202.73,
Tangu&aacute;,3305752,tanguaense,RODRIGO DA COSTA MEDEIROS,143.007,31086,217.37,98.1,0.654,7.89,189343793.7,192949911.2,19902.27,
Teres&oacute;polis,3305802,teresopolitano,VINICIUS CARDOSO CLAUSSEN DA SILVA,773.338,165123,213.52,96.2,0.730,11.25,931293167.5,930429979.6,31880.03,
Trajano de Moraes,3305901,trajanense,RODRIGO FREIRE VIANA,591.151,10302,17.43,98.4,0.667,-,107166200.9,110795345.2,22718.51,
Tr&ecirc;s Rios,3306008,trirriense,JOACIR BARBAGLIO PEREIRA,322.843,78346,242.68,97.9,0.725,15.58,532820731,509644120.4,76977.41,
Valen&ccedil;a,3306107,valenciano,LUIZ FERNANDO FURTADO DA GRA&Ccedil;A,1300.767,68088,52.34,97.7,0.738,9.93,30496067.61,23646387.53,40447.29,
Varre-Sai,3306156,varresaiense,SILVESTRE JOSE GORINI,201.938,10207,50.55,96.8,0.659,16.76,108727341.4,99106996.13,23568.37,
Vassouras,3306206,vassourense,SEVERINO ANANIAS DIAS FILHO,536.073,33976,63.38,98.8,0.714,20,302335868.2,279934505.7,35458.96,
Volta Redonda,3306305,volta-redondense,ANTONIO FRANCISCO NETO,182.105,261563,1436.33,98.5,0.771,12.88,870236156,1604047337,71551.44,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>População residente: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2017</td></tr><tr><td>Receitas realizadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Despesas empenhadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
