"controle";"tipo_ocorrencia";"base";"data_fato";"mês";"ano"
"06616651-2021";"Captura de evadido";"Itaguaí";2021-07-13 00:00:00;"Julho";2021
"56895781-2021";"Apreensão de celular";"Barra";2021-07-13 00:00:00;"Julho";2021
"60833341-2021";"Receptação";"Bangu";2021-07-13 00:00:00;"Julho";2021
"01709351-2021";"Averiguação em sede policial";"Barra";2021-07-13 00:00:00;"Julho";2021
"87768881-2021";"Furto";"Niterói";2021-07-13 00:00:00;"Julho";2021
"26441431-2021";"Lesão corporal dolosa";"Méier";2021-07-13 00:00:00;"Julho";2021
"30088221-2021";"Receptação";"Bangu";2021-07-13 00:00:00;"Julho";2021
"71056891-2021";"Furto a estabelecimento comercial";"Nova Iguaçu";2021-07-13 00:00:00;"Julho";2021
"21624771-2021";"Captura de evadido";"São Gonçalo";2021-07-13 00:00:00;"Julho";2021
"97737141-2021";"Captura de evadido";"Niterói";2021-07-13 00:00:00;"Julho";2021
"43627911-2021";"Apreensão de celular";"Nova Iguaçu";2021-07-13 00:00:00;"Julho";2021
"98282351-2021";"Posse e uso";"Japeri";2021-07-13 00:00:00;"Julho";2021
"98298361-2021";"Apreensão de material";"Lapa";2021-07-14 00:00:00;"Julho";2021
"82223811-2021";"Mandado de prisão";"Copacabana";2021-07-14 00:00:00;"Julho";2021
"82219051-2021";"Apreensão de material";"Copacabana";2021-07-14 00:00:00;"Julho";2021
"46760211-2021";"Apreensão de drogas";"Barra";2021-07-14 00:00:00;"Julho";2021
"62078491-2021";"Receptação";"Laranjeiras";2021-07-14 00:00:00;"Julho";2021
"91618511-2021";"Mandado de prisão";"Barra";2021-07-14 00:00:00;"Julho";2021
"14432111-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-07-14 00:00:00;"Julho";2021
"46328531-2021";"Posse e uso";"Recreio";2021-07-14 00:00:00;"Julho";2021
"59314751-2021";"Porte de arma branca";"Ipanema";2021-07-14 00:00:00;"Julho";2021
"35471451-2021";"Posse e uso";"Recreio";2021-07-14 00:00:00;"Julho";2021
"05489031-2021";"Receptação";"Centro";2021-07-14 00:00:00;"Julho";2021
"09150061-2021";"Furto de aparelho de celular";"Centro";2021-07-14 00:00:00;"Julho";2021
"15762061-2021";"Posse e uso";"Recreio";2021-07-14 00:00:00;"Julho";2021
"37145021-2021";"Posse e uso";"Centro";2021-07-14 00:00:00;"Julho";2021
"20984441-2021";"Furto";"Grajaú E Vila Isabel";2021-07-14 00:00:00;"Julho";2021
"73846841-2021";"Lesão corporal dolosa";"Laranjeiras";2021-07-14 00:00:00;"Julho";2021
"95915011-2021";"Posse e uso";"Recreio";2021-07-14 00:00:00;"Julho";2021
"47039981-2021";"Apreensão de celular";"Méier";2021-07-14 00:00:00;"Julho";2021
"98009791-2021";"Mandado de prisão";"Magé E Piabetá";2021-07-14 00:00:00;"Julho";2021
"18593851-2021";"Apreensão de material";"Botafogo";2021-07-14 00:00:00;"Julho";2021
"52453591-2021";"Captura de evadido";"Recreio";2021-07-14 00:00:00;"Julho";2021
